Company Name,Salary,Rating,Reported Salaries,Designation
Fidelity Investments,26.65,4.3,22,Data Scientist
Curia,6.75,3.6,3,Quality Assurance
UnitedHealth Group,10.0,3.7,28,Data Analyst
Viatris,5.0,3.8,3,Quality Assurance
Capgemini,3.95,3.9,19,Quality Assurance
Ignitarium Technology Solutions,5.5,4.1,5,Machine Learning Engineer
Tata Motors,2.64,4.1,4,Quality Assurance
Gojek,32.35,4.2,18,Data Scientist
Oracle,6.0,3.8,31,Data Analyst
Tech Mahindra,4.2,3.6,14,Quality Assurance
NeoSOFT,6.34,4.0,412,Software Engineer
Kantar,4.0,3.7,32,Data Analyst
PowerSchool Group,10.04,3.9,4,Quality Assurance
Samsung R&D Institute India - Bangalore,18.0,3.7,5,Machine Learning Engineer
Cerner,6.6,3.5,877,Software Engineer
Celebal Technologies,5.29,3.5,76,Data Engineer
Tredence,6.5,4.1,39,Data Analyst
Innoplexus,12.0,4.2,23,Data Scientist
Trantor,7.0,3.6,3,Machine Learning Engineer
VMock,19.0,3.9,18,Data Scientist
XYZ,10.0,3.8,16,Data Engineer
Tech Mahindra,4.33,3.6,133,Data Analyst
Ericsson-Worldwide,4.72,4.1,26,Data Analyst
ZS Associates,12.0,3.7,27,Data Engineer
Fractal,10.5,4.1,138,Data Engineer
PayPal,29.88,3.9,37,Data Scientist
Tietoevry,6.94,4.3,270,Software Engineer
Lowe's Home Improvement,10.75,4.2,18,Data Engineer
Lowe's Home Improvement,13.13,4.2,292,Software Engineer
NielsenIQ,3.6,3.9,40,Data Analyst
ABC,8.0,4.0,36,Data Engineer
ABC,10.0,4.0,11,Machine Learning Engineer
Microsoft,9.8,4.3,34,Data Analyst
Genpact,10.0,4.0,52,Data Scientist
Paytm,11.75,3.5,878,Software Engineer
Anonymous,5.0,3.7,344,Software Engineer
Fractal,16.0,4.1,132,Data Scientist
Atos-Syntel,3.48,3.6,4,Machine Learning Engineer
Ugam,5.5,3.7,62,Data Analyst
Accenture,10.25,3.9,243,Data Scientist
